User ID,Age,Gender,Height (cm),Weight (kg),Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),Mood After Workout,Mood Before Workout_Happy,Mood Before Workout_Neutral,Mood Before Workout_Stressed,Mood Before Workout_Tired,Workout Type_Cardio,Workout Type_Cycling,Workout Type_HIIT,Workout Type_Running,Workout Type_Strength,Workout Type_Yoga
21,38,2,177,54,19,695,91,14796,13.61,2,7.5,1.9,1825,54,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,24,0,179,90,35,221,132,19502,14.6,2,7.4,1.9,2285,68,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,56,2,159,107,60,772,174,5310,10.61,1,9.8,1.9,2600,53,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,58,0,199,78,52,737,142,2065,4.74,1,4.1,1.9,1664,89,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,21,0,157,82,14,861,175,19656,11.47,1,5.6,1.9,3693,51,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
26,43,1,186,59,90,685,157,18426,9.61,2,6.7,1.9,3150,79,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,28,1,151,110,61,629,112,8924,3.53,0,4.3,1.9,2439,59,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,54,1,198,69,76,344,108,17737,10.96,0,5.3,1.9,3829,58,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,40,2,159,99,87,850,169,8048,14.14,0,6.9,1.9,2388,63,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,35,0,188,79,101,638,106,3022,10.91,0,6.0,1.9,1577,63,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,26,2,168,86,112,791,115,17512,5.42,0,6.1,1.9,3029,77,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,19,0,160,92,83,849,85,13746,0.64,2,5.0,1.9,2499,75,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,28,2,157,79,31,482,92,5434,2.21,0,5.1,1.9,1813,52,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
34,39,1,182,51,37,486,127,5364,6.62,1,9.0,1.9,3481,57,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,24,1,166,51,16,949,127,9209,11.32,1,5.7,1.9,3425,81,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36,21,2,193,73,27,689,173,5260,3.81,1,5.1,1.9,3934,67,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,55,0,170,80,63,304,87,2483,6.72,2,5.6,1.9,3289,52,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,42,1,174,55,67,155,89,6613,3.51,1,8.8,1.9,2380,56,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,48,2,156,71,15,297,109,8357,1.83,2,8.8,1.9,3350,62,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,29,1,192,107,43,161,88,15851,11.94,1,8.9,1.9,2353,65,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,54,0,197,89,108,121,134,10133,5.13,2,5.0,1.9,3849,82,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,42,1,179,63,101,927,128,12079,14.48,2,5.6,1.9,2626,85,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
43,41,0,176,75,108,508,173,19400,6.89,0,6.2,1.9,3181,81,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44,20,2,158,58,48,900,112,12503,6.7,2,7.5,1.9,2156,62,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,20,2,180,95,86,697,155,7163,12.15,0,4.6,1.9,2047,61,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,44,1,167,113,118,799,131,6906,1.63,1,7.3,1.9,3597,63,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
47,56,0,187,87,80,872,124,3864,6.06,2,9.8,1.9,1592,54,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
48,36,0,170,83,77,506,144,5052,1.45,0,6.1,1.9,3695,67,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,49,0,195,79,103,767,144,11778,0.54,0,9.9,1.9,3600,78,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50,27,1,198,97,115,976,108,14812,13.48,2,9.4,1.9,2834,83,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,22,2,164,62,45,337,145,7504,12.91,1,4.8,1.9,1583,60,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52,47,0,193,57,95,765,157,9861,6.8,1,7.8,1.9,2154,75,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
53,52,2,194,66,118,376,106,10944,8.22,1,5.3,1.9,2745,69,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,19,2,162,65,77,983,91,19207,3.67,1,6.2,1.9,2904,86,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,48,0,164,57,100,104,115,7042,6.11,1,6.8,1.9,1542,71,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56,28,0,189,75,79,920,97,17141,11.06,2,5.5,1.9,2783,88,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,32,0,195,115,12,155,142,17869,13.25,0,7.9,1.9,3528,64,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
58,39,1,172,95,91,455,134,13146,8.84,1,7.6,1.9,3686,53,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
59,28,2,165,50,38,388,132,9322,5.84,0,5.7,1.9,2208,61,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
60,32,2,190,71,10,264,136,2587,7.75,0,5.8,1.9,3380,60,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
61,33,2,165,67,27,639,152,16715,4.83,0,9.0,1.9,1594,64,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,59,2,158,91,104,896,160,16743,3.68,0,6.6,1.9,2849,74,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,43,1,183,57,50,891,138,2618,13.95,1,4.1,1.9,2786,85,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,57,0,161,97,98,360,167,15113,5.48,1,9.6,1.9,1808,81,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,20,2,165,87,45,247,121,11697,11.31,1,9.0,1.9,1677,64,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66,47,0,189,102,39,287,170,15095,6.55,2,4.5,1.9,3224,63,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67,51,2,158,68,39,255,111,3838,10.52,2,4.3,1.9,2306,87,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
68,23,2,188,78,87,113,147,14669,13.24,1,9.0,1.9,3489,63,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
69,25,0,160,77,24,546,165,14355,14.91,0,5.2,1.9,1941,84,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
70,25,0,165,60,53,934,93,15296,7.68,2,5.9,1.9,3684,55,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
71,53,1,184,85,28,321,115,2265,1.19,0,6.3,1.9,3678,72,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72,49,1,171,88,114,693,178,17220,11.4,0,9.2,1.9,2255,65,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
73,53,2,193,76,36,739,128,1988,12.36,1,6.1,1.9,2196,83,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,21,2,199,97,55,628,113,18445,6.18,2,4.3,1.9,3656,71,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
75,34,2,161,54,32,244,109,17911,3.28,1,6.1,1.9,1656,74,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
76,31,0,151,110,40,748,109,5366,14.93,0,9.7,1.9,3977,59,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
77,20,0,165,100,52,447,112,4614,2.91,2,9.1,1.9,3871,51,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78,58,0,156,74,95,707,179,14037,8.68,0,8.0,1.9,3184,83,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
79,38,2,181,101,91,445,119,5178,12.78,0,8.9,1.9,2171,76,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80,21,1,195,83,54,849,131,5308,3.56,2,4.6,1.9,1547,62,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
81,56,0,199,93,19,796,170,18317,13.36,0,4.5,1.9,1553,86,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
82,36,2,160,117,32,929,152,16327,7.45,1,6.9,1.9,2785,64,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83,59,0,197,92,22,472,150,15125,14.26,2,9.6,1.9,3453,87,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
84,29,0,190,93,105,846,172,14825,1.05,1,5.4,1.9,2264,86,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
85,34,2,174,71,117,524,126,18867,7.08,1,4.4,1.9,3265,67,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,57,0,179,62,25,541,103,15743,1.77,0,8.6,1.9,2365,82,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
87,50,1,194,57,51,125,96,13642,11.72,2,4.5,1.9,2866,84,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,56,2,170,55,57,595,88,6310,4.57,1,7.3,1.9,3220,77,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89,19,0,181,118,29,927,99,5561,12.01,0,7.4,1.9,3750,70,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
90,19,0,172,75,80,756,90,19815,0.71,0,5.2,1.9,3648,76,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
91,54,0,174,60,12,677,87,2312,12.03,1,8.1,1.9,3738,77,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
92,36,1,162,61,74,662,145,16019,3.33,1,4.7,1.9,2216,89,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93,54,0,178,56,115,323,163,12757,7.86,0,4.9,1.9,3300,61,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
94,38,0,189,82,116,631,95,13141,6.55,0,5.6,1.9,2767,82,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
95,28,2,167,54,70,931,116,2658,8.21,2,9.0,1.9,2811,78,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
96,47,1,199,83,92,434,156,7092,2.47,1,7.2,1.9,2740,71,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
97,58,0,183,92,101,890,97,5592,14.44,0,8.2,1.9,3058,79,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,23,2,182,53,100,116,168,14430,8.36,2,4.7,1.9,2356,57,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,59,1,167,70,107,311,93,2451,3.76,1,7.7,1.9,2932,83,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
100,36,0,151,83,73,999,104,17526,10.35,2,6.3,1.9,3050,54,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
101,37,0,190,91,60,494,107,6390,12.23,2,7.6,1.9,1795,60,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
102,40,1,191,118,35,601,136,18797,5.37,0,7.8,1.9,3337,74,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
103,51,0,154,67,82,953,106,8433,7.65,0,8.5,1.9,2659,54,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
104,26,0,154,107,26,473,97,2809,7.77,0,4.4,1.9,3888,50,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105,56,1,189,104,27,600,177,14077,10.62,0,6.9,1.9,3507,66,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
106,54,0,171,106,90,205,140,4391,13.71,2,7.6,1.9,1612,89,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
107,50,1,193,73,93,948,177,13007,3.5,1,5.3,1.9,2130,82,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108,47,2,157,81,83,808,102,1399,8.83,0,9.7,1.9,3308,77,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
109,34,1,192,89,13,210,127,1232,3.72,0,7.1,1.9,3904,55,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,24,1,169,110,44,388,128,10356,3.48,1,7.9,1.9,2552,65,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,58,0,168,106,48,162,80,13213,5.95,0,6.6,1.9,3248,54,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112,22,0,152,72,62,167,90,16226,10.39,1,5.5,1.9,3787,55,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
113,52,2,199,52,98,280,90,17157,11.53,2,4.5,1.9,3425,64,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
114,49,0,159,76,74,980,124,11222,12.18,0,6.4,1.9,1755,50,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
115,39,1,152,112,35,827,158,2472,9.82,1,9.7,1.9,2675,66,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
116,21,0,170,87,82,118,81,1615,2.68,1,4.5,1.9,3320,56,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
117,38,2,159,62,64,952,117,12733,13.34,0,7.4,1.9,3448,61,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,40,0,174,104,82,395,166,5132,5.28,2,8.1,1.9,3470,60,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
119,31,1,187,111,39,459,80,10189,1.45,2,7.8,1.9,2860,56,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
120,38,2,164,59,55,735,118,13938,11.0,1,4.5,1.9,2028,62,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
121,40,0,191,100,94,758,155,19139,5.58,1,6.7,1.9,1690,87,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
122,45,1,179,92,81,303,112,16139,3.3,0,7.4,1.9,3102,84,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
123,22,2,174,102,119,696,105,1360,3.28,1,5.2,1.9,3567,62,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
124,48,1,175,88,74,570,94,18314,12.77,1,8.2,1.9,1623,85,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
125,35,1,185,55,96,415,90,6433,2.07,1,8.3,1.9,2451,87,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
126,47,2,174,97,73,458,155,15661,8.93,1,4.8,1.9,2713,66,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
127,52,0,180,118,18,616,169,19928,8.96,0,5.9,1.9,2531,73,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
128,23,1,190,116,82,315,129,19121,9.4,1,7.5,1.9,3279,55,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
129,24,0,160,87,58,737,155,12387,12.59,1,9.6,1.9,3284,64,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
130,51,1,153,101,114,661,104,8906,14.32,1,5.9,1.9,3127,83,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
131,42,2,191,92,37,275,85,5981,14.7,2,7.8,1.9,3780,75,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
132,21,2,161,117,59,351,105,1843,9.13,1,8.8,1.9,2086,61,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
133,39,0,157,64,13,697,134,18559,4.45,0,5.3,1.9,1560,80,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
134,20,1,171,63,47,629,142,10885,1.13,0,7.2,1.9,2016,84,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135,55,1,159,55,55,538,114,8489,3.44,2,4.0,1.9,3516,68,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
136,52,1,187,117,40,469,156,11306,6.62,2,9.5,1.9,1900,79,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
137,59,1,176,67,16,359,161,4958,12.41,2,9.7,1.9,1937,73,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
138,23,2,160,57,96,470,148,10123,7.66,0,7.5,1.9,2490,76,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
139,37,1,170,107,54,466,115,13413,7.81,1,7.5,1.9,2140,76,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140,45,2,189,55,116,528,92,9949,13.74,2,4.4,1.9,3560,83,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
141,41,1,188,62,25,420,144,5633,14.29,1,7.4,1.9,2877,74,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
142,56,0,150,108,52,432,178,4539,4.39,1,9.9,1.9,3091,57,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
143,44,2,167,87,20,315,145,13866,14.92,2,9.0,1.9,2905,57,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
144,30,0,171,75,113,968,169,6590,3.54,1,7.0,1.9,2912,82,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145,57,1,171,75,102,922,108,12207,4.85,0,6.1,1.9,3367,70,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
146,51,1,195,106,14,528,98,1542,7.17,0,4.8,1.9,1804,76,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
147,45,0,168,83,52,239,161,10805,2.28,2,8.7,1.9,2363,80,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
148,58,2,156,59,47,195,179,5264,5.23,2,9.0,1.9,1756,61,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
149,59,0,195,79,77,543,120,3385,14.29,1,9.4,1.9,1711,81,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
150,36,0,167,95,68,367,110,13485,11.31,0,6.1,1.9,2570,57,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
151,40,2,181,83,72,520,160,2337,12.6,1,6.3,1.9,2270,61,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
152,34,1,156,57,36,464,95,5074,0.57,0,9.7,1.9,1763,89,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
153,52,1,198,111,82,508,90,5978,14.44,1,5.1,1.9,3708,60,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
154,31,0,168,52,91,751,153,14169,4.34,0,6.0,1.9,2535,59,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
155,24,1,187,89,82,182,163,19717,9.69,0,5.9,1.9,2419,53,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
156,40,2,192,60,28,469,84,8764,6.04,2,8.1,1.9,3402,76,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
157,59,0,180,52,26,687,134,4452,4.83,1,4.4,1.9,1708,73,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
158,44,1,185,90,12,582,126,11159,8.19,2,9.2,1.9,3398,56,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
159,57,2,157,118,50,926,156,11236,9.87,2,4.3,1.9,2766,64,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
160,43,2,161,113,108,855,111,19882,11.43,2,6.8,1.9,1541,56,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
161,20,1,174,56,101,756,134,1529,8.97,2,4.4,1.9,1631,89,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
162,50,0,176,69,13,155,179,19847,14.57,2,6.2,1.9,2113,58,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
163,40,0,155,97,51,560,84,9492,4.78,0,9.7,1.9,3327,61,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
164,57,2,156,79,53,375,134,12672,11.09,2,8.3,1.9,1533,66,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
165,52,1,170,85,70,451,177,14243,5.43,0,7.6,1.9,1520,79,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
166,25,0,171,57,111,472,80,9634,14.96,1,4.0,1.9,2276,71,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
167,29,2,177,84,73,565,146,6079,14.2,2,6.5,1.9,3045,80,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
168,41,1,194,101,46,159,154,6457,7.04,2,6.1,1.9,3149,60,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
169,21,1,169,62,35,942,153,4207,7.78,1,4.1,1.9,2222,78,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
